,adult,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
37,False,0,http://wip.warnerbros.com/paradisenow/,67,tt0445620,en,Paradise Now,Two childhood friends are recruited for a suicide bombing in Tel Aviv.,11.425,2005-02-14,3357075,90,Released,"From the most unexpected place, come a  new call for peace",Paradise Now,7.0,151
38,False,15000000,,68,tt0088846,en,Brazil,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",17.536,1985-02-20,0,143,Released,It's only a state of mind.,Brazil,7.7,2168
39,False,28000000,,69,tt0358273,en,Walk the Line,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",17.005,2005-09-13,186438883,136,Released,Love is a burning thing.,Walk the Line,7.5,1913
40,False,30000000,http://www.milliondollarbaby-derfilm.de/,70,tt0405159,en,Million Dollar Baby,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",16.443,2004-12-15,216763646,132,Released,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",Million Dollar Baby,7.9,6544
41,False,5000000,,71,tt0249462,en,Billy Elliot,"Set against the background of the 1984 Miners' Strike, 11-year-old Billy Elliot stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes.",15.846,2000-05-18,109280263,110,Released,Inside every one of us is a special talent waiting to come out. The trick is finding it.,Billy Elliot,7.6,2731
42,False,20000000,,73,tt0120586,en,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",22.407,1998-10-30,23875127,119,Released,Some Legacies Must End.,American History X,8.4,8122
43,False,132000000,https://amblin.com/movie/war-of-the-worlds/,74,tt0407304,en,War of the Worlds,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",27.996,2005-06-28,603873119,117,Released,They're already here.,War of the Worlds,6.4,5809
44,False,70000000,https://www.warnerbros.com/movies/mars-attacks/,75,tt0116996,en,Mars Attacks!,"'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.",19.424,1996-12-12,101371017,106,Released,Nice planet. We'll take it!,Mars Attacks!,6.3,3821
45,False,2500000,https://www.warnerbros.com/movies/sunrise,76,tt0112471,en,Before Sunrise,"On his way to Vienna, American Jesse meets Céline, a student returning to Paris. After long conversations forge a surprising connection between them, Jesse convinces Celine to get off the train with him in Vienna. Since his flight to the U.S. departs the next morning and he has no money for lodging, they wander the city together, taking in the experiences of Vienna and each other.",19.719,1995-01-27,5535405,101,Released,Can the greatest romance of your life last only one night?,Before Sunrise,7.9,2538
46,False,9000000,http://www.otnemem.com/,77,tt0209144,en,Memento,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",29.55,2000-10-11,39723096,113,Released,Some memories are best forgotten.,Memento,8.2,10331
47,False,28000000,http://www.warnerbros.com/blade-runner,78,tt0083658,en,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",30.757,1982-06-25,41473619,117,Released,Man has made his match... now it's his problem.,Blade Runner,7.9,9796
48,False,31000000,,79,tt0299977,zh,英雄,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.,27.898,2002-07-22,177394432,120,Released,One man's strength will unite an empire.,Hero,7.5,1451
49,False,2700000,https://www.warnerbros.com/movies/sunset,80,tt0381681,en,Before Sunset,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",11.302,2004-02-10,15992615,80,Released,What if you had a second chance with the one that got away?,Before Sunset,7.8,2110
50,False,1000000,https://movies.disney.com/nausicaa-of-the-valley-of-the-wind,81,tt0087544,ja,風の谷のナウシカ,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",32.232,1984-03-11,3301446,117,Released,A young girl's love called forth miracles…,Nausicaä of the Valley of the Wind,7.9,2167
51,False,135000000,,82,tt0430357,en,Miami Vice,"A case involving drug lords and murder in South Florida takes a personal turn for undercover detectives Sonny Crockett and Ricardo Tubbs. Unorthodox Crockett gets involved romantically with the Chinese-Cuban wife of a trafficker of arms and drugs, while Tubbs deals with an assault on those he loves.",25.586,2006-07-27,163794509,132,Released,No Law. No Rules. No Order.,Miami Vice,5.9,1126
52,False,130000,,83,tt0374102,en,Open Water,"Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...",17.977,2003-12-29,54667954,79,Released,Scream all you want.,Open Water,5.4,735
53,False,18000000,http://www.indianajones.com,85,tt0082971,en,Raiders of the Lost Ark,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",31.035,1981-06-12,389925971,115,Released,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,Raiders of the Lost Ark,7.9,8598
54,False,6000000,http://www.elementarteilchen.film.de/,86,tt0430051,de,Elementarteilchen,"Based on Michel Houellebecq's controversial novel, Atomised (aka The Elementary Particles) focuses on Michael and Bruno, two very different half-brothers and their disturbed sexuality.  After a chaotic childhood with a hippie mother only caring for her affairs, Michael, a molecular biologist, is more interested in genes than women, while Bruno is obsessed with his sexual desires, but mostly finds his satisfaction with prostitutes.  But Bruno's life changes when he gets to know the experienced Christiane.  In the meantime, Michael meets Annabelle, the love of his youth, again.",8.14,2006-02-10,0,105,Released,,The Elementary Particles,6.3,87
