,movie_id,genres_id
0,tt0094675,18
1,tt0094675,80
2,tt0094675,35
3,tt0092149,18
4,tt0092149,35
5,tt0113101,80
6,tt0113101,35
7,tt0107286,28
8,tt0107286,53
9,tt0107286,80
10,tt0076759,12
11,tt0076759,28
12,tt0076759,878
13,tt0266543,16
14,tt0266543,10751
15,tt0109830,35
16,tt0109830,18
17,tt0109830,10749
18,tt0169547,18
19,tt0033467,9648
20,tt0033467,18
21,tt0168629,18
22,tt0168629,80
23,tt0411267,27
24,tt0411267,53
25,tt0411267,9648
26,tt0119116,12
27,tt0119116,14
28,tt0119116,28
29,tt0119116,53
30,tt0119116,878
31,tt0017136,18
32,tt0017136,878
33,tt0314412,18
34,tt0314412,10749
35,tt0325980,12
36,tt0325980,14
37,tt0325980,28
38,tt0266697,28
39,tt0266697,80
40,tt0418763,18
41,tt0418763,10752
42,tt0352994,18
43,tt0411705,18
44,tt0411705,10402
45,tt0411705,10749
46,tt0078788,18
47,tt0078788,10752
48,tt1530535,16
49,tt1530535,878
50,tt0105695,37
51,tt0462538,16
52,tt0462538,35
53,tt0462538,10751
54,tt0338013,878
55,tt0338013,18
56,tt0338013,10749
57,tt0245712,18
58,tt0245712,53
59,tt0383574,12
60,tt0383574,14
61,tt0383574,28
62,tt0399146,18
63,tt0399146,53
64,tt0399146,80
65,tt0062622,878
66,tt0062622,9648
67,tt0062622,12
68,tt0114746,878
69,tt0114746,53
70,tt0114746,9648
71,tt0287467,18
72,tt0287467,10749
73,tt0298203,10402
74,tt0298203,18
75,tt0118548,80
76,tt0118548,18
77,tt0118548,28
78,tt0445620,53
79,tt0445620,80
80,tt0445620,18
81,tt0088846,35
82,tt0088846,878
83,tt0358273,18
84,tt0358273,10402
85,tt0358273,10749
86,tt0405159,18
87,tt0249462,18
88,tt0249462,35
89,tt0249462,10402
90,tt0120586,18
91,tt0407304,12
92,tt0407304,53
93,tt0407304,878
94,tt0116996,35
95,tt0116996,14
96,tt0116996,878
97,tt0112471,18
98,tt0112471,10749
99,tt0209144,9648
100,tt0209144,53
101,tt0083658,878
102,tt0083658,18
103,tt0083658,53
104,tt0299977,18
105,tt0299977,12
106,tt0299977,28
107,tt0299977,36
108,tt0381681,18
109,tt0381681,10749
110,tt0087544,12
111,tt0087544,16
112,tt0087544,14
113,tt0430357,28
114,tt0430357,80
115,tt0430357,53
116,tt0374102,18
117,tt0374102,53
118,tt0374102,27
119,tt0082971,12
120,tt0082971,28
121,tt0430051,18
122,tt0430051,10749
123,tt0087469,12
124,tt0087469,28
125,tt0092890,18
126,tt0092890,10402
127,tt0092890,10749
128,tt0097576,12
129,tt0097576,28
130,tt0086960,28
131,tt0086960,35
132,tt0086960,80
133,tt0052561,80
134,tt0052561,18
135,tt0052561,9648
136,tt0052561,53
137,tt0120591,28
138,tt0120591,53
139,tt0120591,878
140,tt0120591,12
141,tt0092644,28
142,tt0092644,35
143,tt0092644,80
144,tt0084827,878
145,tt0084827,28
146,tt0084827,12
147,tt0172495,28
148,tt0172495,18
149,tt0172495,12
150,tt0185125,35
151,tt0185125,18
152,tt0120735,35
153,tt0120735,80
154,tt0110413,80
155,tt0110413,18
156,tt0110413,28
157,tt0315543,18
158,tt0315543,10749
159,tt0075314,80
160,tt0075314,18
161,tt0130827,28
162,tt0130827,18
163,tt0130827,53
164,tt0088763,12
165,tt0088763,35
166,tt0088763,878
167,tt0088763,10751
168,tt0093773,878
169,tt0093773,28
170,tt0093773,12
171,tt0093773,53
172,tt0208092,80
173,tt0208092,35
174,tt0108394,18
175,tt0111507,35
176,tt0111507,18
177,tt0111507,9648
178,tt0111495,18
179,tt0111495,9648
180,tt0111495,10749
181,tt0086250,28
182,tt0086250,80
183,tt0086250,18
184,tt0086250,53
185,tt0243862,35
186,tt0243862,18
187,tt0243862,10749
188,tt0374546,18
189,tt0100405,10749
190,tt0100405,35
191,tt0118715,35
192,tt0118715,80
193,tt0416320,18
194,tt0416320,53
195,tt0416320,80
196,tt0416320,10749
197,tt0094226,80
198,tt0094226,18
199,tt0094226,36
200,tt0094226,53
201,tt0367594,12
202,tt0367594,35
203,tt0367594,10751
204,tt0367594,14
205,tt0120737,12
206,tt0120737,14
207,tt0120737,28
208,tt0167261,12
209,tt0167261,14
210,tt0167261,28
211,tt0167260,12
212,tt0167260,14
213,tt0167260,28
214,tt0077869,12
215,tt0077869,16
216,tt0077869,14
217,tt0086961,18
218,tt0084549,18
219,tt0119698,12
220,tt0119698,14
221,tt0119698,16
222,tt0245429,16
223,tt0245429,10751
224,tt0245429,14
225,tt0190590,12
226,tt0190590,35
227,tt0190590,80
228,tt0022913,18
229,tt0022913,27
230,tt0107048,10749
231,tt0107048,14
232,tt0107048,18
233,tt0107048,35
234,tt0021814,18
235,tt0021814,14
236,tt0021814,27
237,tt0164756,18
238,tt0164756,35
239,tt0164756,10749
240,tt0275491,80
241,tt0275491,18
242,tt0275491,10749
243,tt0275491,53
244,tt0275491,9648
245,tt0246578,14
246,tt0246578,18
247,tt0246578,9648
248,tt0388795,18
249,tt0388795,10749
250,tt0020629,18
251,tt0020629,10752
252,tt0093191,18
253,tt0093191,14
254,tt0093191,10749
255,tt0115751,18
256,tt0115751,10749
257,tt0190332,12
258,tt0190332,18
259,tt0190332,28
260,tt0190332,10749
261,tt0053198,18
262,tt0430576,18
263,tt0430576,10749
264,tt0094625,16
265,tt0094625,878
266,tt0094625,28
267,tt0083511,53
268,tt0083511,28
269,tt0083511,35
270,tt0083511,80
271,tt0083511,18
272,tt0079945,878
273,tt0079945,12
274,tt0079945,9648
275,tt0335266,18
276,tt0335266,10749
277,tt0335266,35
278,tt0084726,28
279,tt0084726,12
280,tt0084726,878
281,tt0084726,53
282,tt0468569,18
283,tt0468569,28
284,tt0468569,80
285,tt0468569,53
286,tt0329767,35
287,tt0329767,18
288,tt0329767,10749
289,tt0088170,878
290,tt0088170,28
291,tt0088170,12
292,tt0088170,53
293,tt0119472,35
294,tt0119472,80
295,tt0109255,35
296,tt0109255,18
297,tt0240772,53
298,tt0240772,80
299,tt0099487,14
300,tt0099487,18
301,tt0099487,10749
302,tt0349903,53
303,tt0349903,80
304,tt0054698,35
305,tt0054698,18
306,tt0054698,10749
307,tt0096874,12
308,tt0096874,35
309,tt0096874,10751
310,tt0096874,878
311,tt0082100,18
312,tt0082100,10749
313,tt0082100,35
314,tt0082100,10751
315,tt0272152,18
316,tt0272152,878
317,tt0092007,878
318,tt0092007,12
319,tt0100403,878
320,tt0100403,28
321,tt0100403,53
322,tt0289043,27
323,tt0289043,53
324,tt0289043,878
325,tt0083686,35
326,tt0083686,10749
327,tt0083686,18
328,tt0098382,878
329,tt0098382,28
330,tt0098382,12
331,tt0098382,53
332,tt0046672,12
333,tt0046672,18
334,tt0046672,10751
335,tt0046672,14
336,tt0046672,878
337,tt0102975,878
338,tt0102975,28
339,tt0102975,12
340,tt0102975,53
341,tt0095250,12
342,tt0095250,18
343,tt0095250,10749
344,tt0387564,27
345,tt0387564,9648
346,tt0387564,80
347,tt0101889,35
348,tt0101889,18
349,tt0109303,53
350,tt0373926,80
351,tt0373926,53
352,tt0181689,28
353,tt0181689,53
354,tt0181689,878
355,tt0181689,9648
356,tt0452624,18
357,tt0452624,53
358,tt0452624,9648
359,tt0098663,12
360,tt0098663,35
361,tt0098663,18
362,tt0098663,10751
363,tt0119396,80
364,tt0119396,53
365,tt0119396,18
366,tt0066921,878
367,tt0066921,18
368,tt0425210,18
369,tt0425210,53
370,tt0425210,80
371,tt0425210,9648
372,tt0401792,28
373,tt0401792,53
374,tt0401792,80
375,tt0458481,80
376,tt0458481,28
377,tt0458481,53
378,tt0248103,18
379,tt0091605,18
380,tt0091605,53
381,tt0091605,9648
382,tt0111280,878
383,tt0111280,28
384,tt0111280,12
385,tt0111280,53
386,tt0211915,35
387,tt0211915,10749
388,tt0023622,35
389,tt0023622,80
390,tt0023622,10749
391,tt0099088,12
392,tt0099088,35
393,tt0099088,878
394,tt0112573,28
395,tt0112573,18
396,tt0112573,36
397,tt0112573,10752
398,tt0035446,35
399,tt0035446,10752
400,tt0117731,878
401,tt0117731,28
402,tt0117731,12
403,tt0117731,53
404,tt0120844,878
405,tt0120844,28
406,tt0120844,12
407,tt0120844,53
408,tt0253754,878
409,tt0253754,28
410,tt0253754,12
411,tt0253754,53
412,tt0070379,18
413,tt0070379,80
414,tt0046268,18
415,tt0046268,53
416,tt0046268,12
417,tt0395169,18
418,tt0395169,36
419,tt0395169,10752
420,tt0287624,18
421,tt0097165,18
422,tt0276820,35
423,tt0276820,18
424,tt0036613,35
425,tt0036613,80
426,tt0053125,9648
427,tt0053125,53
428,tt0489270,27
429,tt0489270,53
430,tt0489270,80
431,tt0432348,27
432,tt0071141,10749
433,tt0071141,18
434,tt0367882,12
435,tt0367882,28
436,tt0088247,28
437,tt0088247,53
438,tt0088247,878
439,tt0441909,35
440,tt0441909,18
441,tt0441909,10749
442,tt0048028,18
443,tt0048028,10749
444,tt0048545,18
445,tt0032976,18
446,tt0032976,9648
447,tt0032976,53
448,tt0032976,10749
449,tt0075902,18
450,tt0075902,36
451,tt0082222,18
452,tt0082222,36
453,tt0171804,80
454,tt0171804,18
455,tt0086066,80
456,tt0086066,18
457,tt0020697,18
458,tt0026138,27
459,tt0365737,18
460,tt0365737,53
461,tt0086216,28
462,tt0086216,80
463,tt0086216,18
464,tt0080117,18
465,tt0010323,18
466,tt0010323,27
467,tt0010323,53
468,tt0010323,80
469,tt0092005,80
470,tt0092005,18
471,tt0110598,18
472,tt0110598,35
473,tt0110598,10749
474,tt0289635,18
475,tt0289635,53
476,tt0289635,80
477,tt0289635,10749
478,tt0068646,18
479,tt0068646,80
480,tt0053291,35
481,tt0053291,10402
482,tt0053291,10749
483,tt0053291,80
484,tt0071562,18
485,tt0071562,80
486,tt0110632,80
487,tt0110632,53
488,tt0110632,18
489,tt0099674,80
490,tt0099674,18
491,tt0099674,53
492,tt0146882,35
493,tt0146882,18
494,tt0146882,10749
495,tt0146882,10402
496,tt0024216,12
497,tt0024216,18
498,tt0024216,27
499,tt0276751,18
500,tt0276751,35
501,tt0276751,10749
502,tt0363226,12
503,tt0363226,18
504,tt0363226,28
505,tt0049406,80
506,tt0049406,18
507,tt0049406,53
508,tt0055312,35
509,tt0055312,18
510,tt0098621,35
511,tt0098621,18
512,tt0180748,28
513,tt0180748,35
514,tt0180748,80
515,tt0099653,14
516,tt0099653,18
517,tt0099653,53
518,tt0099653,9648
519,tt0099653,10749
520,tt0067992,10751
521,tt0067992,14
522,tt0067992,35
523,tt0070328,12
524,tt0070328,28
525,tt0070328,53
526,tt0360717,12
527,tt0360717,18
528,tt0360717,28
529,tt0062695,35
530,tt0062695,18
531,tt0062695,10749
532,tt0380599,80
533,tt0380599,18
534,tt0380599,10751
535,tt0065651,35
536,tt0065651,18
537,tt0065651,10749
538,tt0078771,35
539,tt0078771,18
540,tt0078771,10749
541,tt0026029,9648
542,tt0026029,53
543,tt0051459,18
544,tt0051459,10749
545,tt0085794,80
546,tt0085794,35
547,tt0085794,18
548,tt0082661,10752
549,tt0082661,18
550,tt0082661,10749
551,tt0057345,18
552,tt0118819,18
553,tt0118819,10749
554,tt0118819,53
555,tt0096895,14
556,tt0096895,28
557,tt0053472,18
558,tt0053472,80
559,tt0088015,12
560,tt0088015,18
561,tt0088015,14
